sep=,
ano,indice,normalized
1994,7998.589999999999,0.9999999999999999
1995,13353.079999999998,1.669429236903004
1996,15529.67,1.9415509483546476
1997,16619.46,2.077798712022994
1998,17185.64,2.148583687874988
1999,17968.36,2.2464409352148316
2000,19271.51,2.4093634002993025
2001,20582.83,2.5733072954108165
2002,22253.78,2.7822128650174593
2003,25583.29,3.198474981215439
2004,27276.69,3.4101872955108337
2005,29172.1,3.6471553111235853
2006,30398.949999999997,3.8005385949273554
2007,31479.4,3.935618652787554
2008,33253.200000000004,4.157382738707698
2009,34868.670000000006,4.359352085805123
2010,36601.219999999994,4.575959012776001
2011,39020.990000000005,4.878483582731457
2012,41173.130000000005,5.147548505424082
2013,43716.0,5.465463287904493
2014,46457.52,5.808213697664213
2015,50583.43999999999,6.324044612863015
2016,55147.36,6.894635179450378
2017,57152.61,7.145335615402215
2018,59237.9,7.406042815046152
2019,61415.439999999995,7.678283297431172
2020,63362.25999999999,7.9216786958701455
2021,27697.489999999998,3.4627965678950914
